Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 619.47it/s]
train: 47379 items, 2 epochs, 2960 updates, micro 8 x accum 4
  epoch 2/2 step 1500/5923 loss 0.4099 ce 0.5982 reward -0.023 lr 8.34e-06 61.5 min, 0.50 s/step
  epoch 2/2 step 1550/5923 loss 0.7501 ce 0.5654 reward 0.058 lr 8.20e-06 62.0 min, 0.50 s/step
  epoch 2/2 step 1600/5923 loss 0.3157 ce 0.6096 reward 0.005 lr 8.05e-06 62.4 min, 0.50 s/step
  epoch 2/2 step 1650/5923 loss 0.1181 ce 0.2012 reward 0.512 lr 7.91e-06 62.8 min, 0.50 s/step
  epoch 2/2 step 1700/5923 loss 0.3927 ce 0.4224 reward 0.225 lr 7.76e-06 63.1 min, 0.50 s/step
  epoch 2/2 step 1750/5923 loss 0.2618 ce 0.6534 reward -0.086 lr 7.62e-06 63.6 min, 0.50 s/step
  epoch 2/2 step 1800/5923 loss 0.4125 ce 0.4869 reward 0.143 lr 7.47e-06 64.0 min, 0.50 s/step
  epoch 2/2 step 1850/5923 loss 0.5196 ce 0.6029 reward -0.016 lr 7.34e-06 64.4 min, 0.50 s/step
  epoch 2/2 step 1900/5923 loss 0.6816 ce 0.8552 reward -0.341 lr 7.19e-06 64.8 min, 0.50 s/step
  epoch 2/2 step 1950/5923 loss 0.6476 ce 0.5025 reward 0.140 lr 7.06e-06 65.2 min, 0.50 s/step
  epoch 2/2 step 2000/5923 loss 0.0168 ce 0.1606 reward 0.565 lr 6.92e-06 65.6 min, 0.50 s/step
  epoch 2/2 step 2050/5923 loss 0.5697 ce 0.3443 reward 0.318 lr 6.78e-06 66.0 min, 0.50 s/step
  epoch 2/2 step 2100/5923 loss -0.1418 ce 0.3383 reward 0.348 lr 6.64e-06 66.4 min, 0.50 s/step
  epoch 2/2 step 2150/5923 loss 0.6387 ce 0.5915 reward 0.010 lr 6.51e-06 66.8 min, 0.50 s/step
  epoch 2/2 step 2200/5923 loss 0.3892 ce 0.6885 reward -0.125 lr 6.38e-06 67.2 min, 0.50 s/step
  epoch 2/2 step 2250/5923 loss 1.1446 ce 0.6714 reward -0.079 lr 6.25e-06 67.5 min, 0.50 s/step
  epoch 2/2 step 2300/5923 loss 0.0969 ce 0.3279 reward 0.344 lr 6.11e-06 67.9 min, 0.50 s/step
  epoch 2/2 step 2350/5923 loss 1.2034 ce 0.8473 reward -0.287 lr 5.99e-06 68.3 min, 0.50 s/step
  epoch 2/2 step 2400/5923 loss -0.0492 ce 0.3955 reward 0.272 lr 5.85e-06 68.7 min, 0.50 s/step
  epoch 2/2 step 2450/5923 loss 0.2226 ce 0.2701 reward 0.436 lr 5.73e-06 69.2 min, 0.50 s/step
  epoch 2/2 step 2500/5923 loss 1.1267 ce 0.5816 reward 0.019 lr 5.60e-06 69.6 min, 0.50 s/step
  epoch 2/2 step 2550/5923 loss 0.9856 ce 0.8029 reward -0.267 lr 5.48e-06 70.0 min, 0.50 s/step
  epoch 2/2 step 2600/5923 loss 1.2087 ce 1.2388 reward -0.724 lr 5.35e-06 70.4 min, 0.50 s/step
  epoch 2/2 step 2650/5923 loss 0.7298 ce 1.0017 reward -0.539 lr 5.24e-06 70.7 min, 0.50 s/step
  epoch 2/2 step 2700/5923 loss 0.2875 ce 0.6786 reward -0.105 lr 5.11e-06 71.1 min, 0.49 s/step
  epoch 2/2 step 2750/5923 loss 0.5149 ce 0.5703 reward 0.029 lr 5.00e-06 71.6 min, 0.50 s/step
  epoch 2/2 step 2800/5923 loss 0.7460 ce 0.6527 reward -0.067 lr 4.87e-06 71.9 min, 0.49 s/step
  epoch 2/2 step 2850/5923 loss 0.4090 ce 0.4316 reward 0.225 lr 4.76e-06 72.3 min, 0.49 s/step
  epoch 2/2 step 2900/5923 loss 0.6567 ce 0.3082 reward 0.369 lr 4.64e-06 72.7 min, 0.49 s/step
  epoch 2/2 step 2950/5923 loss 0.4801 ce 0.3927 reward 0.243 lr 4.53e-06 73.1 min, 0.49 s/step
  epoch 2/2 step 3000/5923 loss 0.0826 ce 0.2852 reward 0.394 lr 4.42e-06 73.6 min, 0.49 s/step
  epoch 2/2 step 3050/5923 loss 0.3501 ce 0.4236 reward 0.223 lr 4.31e-06 74.0 min, 0.49 s/step
  epoch 2/2 step 3100/5923 loss 0.6772 ce 0.8678 reward -0.336 lr 4.20e-06 74.4 min, 0.49 s/step
  epoch 2/2 step 3150/5923 loss 0.5551 ce 0.6003 reward -0.041 lr 4.09e-06 74.8 min, 0.49 s/step
  epoch 2/2 step 3200/5923 loss 0.0346 ce 0.5099 reward 0.082 lr 3.98e-06 75.3 min, 0.49 s/step
  epoch 2/2 step 3250/5923 loss 0.6325 ce 0.7349 reward -0.155 lr 3.88e-06 75.7 min, 0.49 s/step
  epoch 2/2 step 3300/5923 loss 0.0493 ce 0.5016 reward 0.108 lr 3.78e-06 76.1 min, 0.50 s/step
  epoch 2/2 step 3350/5923 loss 0.5041 ce 0.4048 reward 0.252 lr 3.68e-06 76.5 min, 0.50 s/step
  epoch 2/2 step 3400/5923 loss 0.7630 ce 0.4947 reward 0.115 lr 3.58e-06 77.0 min, 0.50 s/step
  epoch 2/2 step 3450/5923 loss 0.1404 ce 0.3988 reward 0.273 lr 3.48e-06 77.5 min, 0.50 s/step
  epoch 2/2 step 3500/5923 loss 0.3878 ce 0.3994 reward 0.250 lr 3.38e-06 77.8 min, 0.50 s/step
  epoch 2/2 step 3550/5923 loss 0.5856 ce 0.4517 reward 0.186 lr 3.29e-06 78.2 min, 0.50 s/step
  epoch 2/2 step 3600/5923 loss 0.6955 ce 0.4838 reward 0.151 lr 3.20e-06 78.6 min, 0.50 s/step
  epoch 2/2 step 3650/5923 loss 0.5032 ce 0.5201 reward 0.110 lr 3.11e-06 79.0 min, 0.50 s/step
  epoch 2/2 step 3700/5923 loss 0.2788 ce 0.6455 reward -0.044 lr 3.02e-06 79.4 min, 0.50 s/step
  epoch 2/2 step 3750/5923 loss 0.4604 ce 0.4762 reward 0.147 lr 2.93e-06 79.9 min, 0.50 s/step
  epoch 2/2 step 3800/5923 loss 0.7633 ce 0.6107 reward -0.019 lr 2.84e-06 80.4 min, 0.50 s/step
  epoch 2/2 step 3850/5923 loss -0.2823 ce 0.3028 reward 0.366 lr 2.76e-06 80.8 min, 0.50 s/step
  epoch 2/2 step 3900/5923 loss 0.8189 ce 0.6955 reward -0.089 lr 2.68e-06 81.2 min, 0.50 s/step
  epoch 2/2 step 3950/5923 loss 1.0649 ce 0.7234 reward -0.167 lr 2.60e-06 81.8 min, 0.50 s/step
  epoch 2/2 step 4000/5923 loss 0.7160 ce 0.5878 reward 0.011 lr 2.52e-06 82.1 min, 0.50 s/step
  epoch 2/2 step 4050/5923 loss 0.0951 ce 0.2670 reward 0.411 lr 2.44e-06 82.5 min, 0.50 s/step
  epoch 2/2 step 4100/5923 loss 0.8828 ce 1.1034 reward -0.628 lr 2.37e-06 82.9 min, 0.50 s/step
  epoch 2/2 step 4150/5923 loss 0.2790 ce 0.2281 reward 0.480 lr 2.30e-06 83.3 min, 0.50 s/step
  epoch 2/2 step 4200/5923 loss 0.8868 ce 0.5445 reward 0.087 lr 2.22e-06 83.8 min, 0.50 s/step
  epoch 2/2 step 4250/5923 loss 0.5475 ce 0.4431 reward 0.216 lr 2.16e-06 84.2 min, 0.50 s/step
  epoch 2/2 step 4300/5923 loss 0.5188 ce 0.3620 reward 0.301 lr 2.09e-06 84.6 min, 0.50 s/step
  epoch 2/2 step 4350/5923 loss 0.2522 ce 0.4732 reward 0.143 lr 2.02e-06 84.9 min, 0.50 s/step
  epoch 2/2 step 4400/5923 loss 0.6249 ce 0.5529 reward 0.053 lr 1.96e-06 85.3 min, 0.50 s/step
  epoch 2/2 step 4450/5923 loss 0.4583 ce 0.5084 reward 0.092 lr 1.90e-06 85.8 min, 0.50 s/step
  epoch 2/2 step 4500/5923 loss 0.2253 ce 0.4847 reward 0.140 lr 1.84e-06 86.1 min, 0.50 s/step
